Company_Brand,HeadQuarter,Sector,Amount,Funding Year
Leena Ai,Gurgaon,Information Technology (IT),2000000,2018
Max Healthcare,Delhi,Healthcare and Fitness,0,2018
Gobolt,Delhi,Transportation and Tourism,5840000,2018
Gogaga,Bengaluru,Social Development,40000,2018
Mate Labs,Bengaluru,Information Technology (IT),550000,2018
Furlenco,Bengaluru,E-Commerce and Retail,0,2018
Ola,Kormangala,Information Technology (IT),50000000,2018
Docprime,Haryana,Healthcare and Fitness,50000000,2018
Clp India Pvt. Ltd.,Mumbai,Other,365000000,2018
Xplorabox,Noida,E-Commerce and Retail,0,2018
Myra,Bengaluru,Information Technology (IT),127750,2018
Vokal,Bengaluru,Information Technology (IT),1500000,2018
Kissht,Mumbai,Banking and Financial Services,30000000,2018
Upwards Fintech,Mumbai,Banking and Financial Services,5000000,2018
Bon(Bonfleet Solutions),Pune,Banking and Financial Services,1138800,2018
Mamaearth,Gurgaon,E-Commerce and Retail,4000000,2018
Babychakra,Mumbai,Healthcare and Fitness,0,2018
Belstar Investment And Finance Private Limited,Chennai,Banking and Financial Services,28000000,2018
Naaptol,Mumbai,E-Commerce and Retail,15000000,2018
Moonshine Meadery,Pune,Agriculture and Food Production,0,2018
Verzeo,Bengaluru,Education,5000000,2018
Haazri,Mumbai,Agriculture and Food Production,182500,2018
Connect India,Delhi,Transportation and Tourism,0,2018
Flyrobe,Mumbai,Fashion and Beauty,3854400,2018
Scholify,Bengaluru,Other,0,2018
Dream11,Mumbai,Healthcare and Fitness,100000000,2018
Srjna,Jaipur,Other,0,2018
Nykaa,Mumbai,Fashion and Beauty,16498000,2018
Chaayos,Delhi,Agriculture and Food Production,11826000,2018
Heelium,Pune,Healthcare and Fitness,0,2018
Lt Foods,Delhi,Agriculture and Food Production,20440000,2018
Multibashi,Bengaluru,Education,146000,2018
Cleardekho,Ghaziabad,Fashion and Beauty,0,2018
Dailyhunt,Bengaluru,Information Technology (IT),6000000,2018
Slicepay,Bengaluru,Banking and Financial Services,14900000,2018
Udaan,Bengaluru,E-Commerce and Retail,225000000,2018
Happyeasygo Group,Haryana,Transportation and Tourism,0,2018
Mombay,Mumbai,Agriculture and Food Production,7500,2018
Droni Tech,Mumbai,Information Technology (IT),511000,2018
Netmeds,Chennai,Information Technology (IT),35000000,2018
Bombay Shaving,Unknown,Other,6300000,2019
Ruangguru,Mumbai,Education,150000000,2019
Eduisfun,Mumbai,Education,28000000,2019
Homelane,Chennai,Career and Personal Development,30000000,2019
Nu Genes,Telangana,Other,6000000,2019
Flytbase,Pune,Information Technology (IT),0,2019
Finly,Bengaluru,Information Technology (IT),0,2019
Kratikal,Noida,Information Technology (IT),1000000,2019
Quantiphi,Unknown,Information Technology (IT),20000000,2019
Lenskart,Delhi,E-Commerce and Retail,275000000,2019
Cub Mcpaws,Mumbai,E-Commerce and Retail,0,2019
Appnomic,Bengaluru,Information Technology (IT),22000000,2019
Kaleidofin,Chennai,Banking and Financial Services,5000000,2019
Jobsquare,Ahmedabad,Career and Personal Development,140500,2019
Open Secret,Unknown,Agriculture and Food Production,0,2019
Livfin,Delhi,Banking and Financial Services,5000000,2019
Byju'S,Unknown,Education,540000000,2019
Zest Money,Bengaluru,Banking and Financial Services,15000000,2019
Witblox,Unknown,Education,182700,2019
Azah Personal Care Pvt.Ltd.,Gurugram,Healthcare and Fitness,0,2019
Salaryfits,Unknown,Banking and Financial Services,5000000,2019
Pristyn Care,Unknown,Healthcare and Fitness,12000000,2019
Springboard,Unknown,Education,11000000,2019
Dror Labs Pvt. Ltd,Delhi,Information Technology (IT),0,2019
Medlife,Bengaluru,Healthcare and Fitness,15500000,2019
Seekify,Delhi,Information Technology (IT),1500000,2019
Toffee Insurance,Haryana,Banking and Financial Services,5500000,2019
Fireflies.Ai,Unknown,Information Technology (IT),5000000,2019
Hungerbox,Bengaluru,Agriculture and Food Production,12000000,2019
Bijak,Unknown,Other,2500000,2019
Licious,Bengaluru,Agriculture and Food Production,30000000,2019
Trume,Unknown,Information Technology (IT),140000,2019
Pumpkart,Chandigarh,E-Commerce and Retail,0,2019
Asteria Aerospace,Bengaluru,Information Technology (IT),230000000,2019
Rivigo,Unknown,Transportation and Tourism,20000000,2019
Happyeasygo,Gurugram,Transportation and Tourism,49400000,2019
Zetwerk,Bengaluru,Other,32000000,2019
Observe.Ai,Bengaluru,Information Technology (IT),26000000,2019
Freshokartz,Jaipur,E-Commerce and Retail,150000,2019
Lil’ Goodness And Scool Meal,Bengaluru,Agriculture and Food Production,400000,2019
Trell,Bengaluru,Media and Entertainment,2000000,2019
Vmate,Unknown,Other,100000000,2019
Bombay Shirt Company,Mumbai,E-Commerce and Retail,8000000,2019
Slintel,Unknown,Information Technology (IT),1500000,2019
Mygamemate,Bengaluru,Healthcare and Fitness,100000,2019
Afinoz,Noida,Banking and Financial Services,0,2019
Rein Games,Noida,Information Technology (IT),50000000,2019
Ecozen,Pune,Other,6000000,2019
Box8,Mumbai,Agriculture and Food Production,120000000,2019
Awign Enterprises,Bengaluru,Other,4000000,2019
Purplle,Mumbai,Fashion and Beauty,30000000,2019
Freightwalla,Mumbai,E-Commerce and Retail,4000000,2019
Tapchief,Bengaluru,Other,1500000,2019
Ejohri,Mumbai,Fashion and Beauty,1000000,2019
Ninjacart,Unknown,E-Commerce and Retail,0,2019
Binca Games,Mumbai,Media and Entertainment,0,2019
Kredx,Bengaluru,Other,26000000,2019
M.Paani,Mumbai,Other,5500000,2019
Origo,Gurugram,Other,6800000,2019
Wishadish,Delhi,Agriculture and Food Production,6000000,2019
Ecom Express,Gurugram,Transportation and Tourism,36000000,2019
Stanza Living,Delhi,Real Estate,5700000,2019
Pibeam,Chennai,Manufacturing,50000000,2019
Euler Motors,Delhi,Manufacturing,2000000,2019
Moms Co,Delhi,E-Commerce and Retail,5000000,2019
Cubical Labs,Unknown,Information Technology (IT),0,2019
Lawyered,Delhi,Career and Personal Development,100000,2019
Cuemath,Bengaluru,Education,5500000,2019
Licious,Bengaluru,Agriculture and Food Production,25000000,2019
Nivesh.Com,Noida,Banking and Financial Services,600000,2019
Zebu,Unknown,Information Technology (IT),4000000,2019
Smart Institute,Surat,Education,1500000,2019
Cardekho,Jaipur,Manufacturing,70000000,2019
Shadowfax,Bengaluru,Transportation and Tourism,60000000,2019
Credr,Mumbai,Manufacturing,6000000,2019
Sportido,Noida,Healthcare and Fitness,0,2019
Phable,Unknown,Healthcare and Fitness,220000,2019
Sarva,Chennai,Healthcare and Fitness,2800000,2019
Indyfint,Bengaluru,Banking and Financial Services,2100000,2019
Zolostays,Unknown,Real Estate,7000000,2019
Ola,Bengaluru,Transportation and Tourism,311000000,2019
Zoomcar,Bengaluru,Transportation and Tourism,4800000,2019
Kratikal,Uttar Pradesh,Information Technology (IT),1000000,2019
Froogal,Hyderabad,E-Commerce and Retail,1000000,2019
Infra.Market,Mumbai,Information Technology (IT),20000000,2019
Oyo,Gurugram,Events and Hospitality,693000000,2019
Gomechanic,Delhi,Manufacturing,5000000,2019
Spinny,Delhi,Manufacturing,50000000,2019
Ess Kay Fincorp,Rajasthan,Banking and Financial Services,33000000,2019
Aqgromalin,Chennai,Other,200000,2020
Krayonnz,Bengaluru,Education,100000,2020
Padcare Labs,Pune,Other,0,2020
Ncome,Delhi,E-Commerce and Retail,400000,2020
Gramophone,Indore,Other,340000,2020
Qzense,Bengaluru,Other,600000,2020
Myclassboard,Hyderabad,Education,600000,2020
Metvy,Gurgaon,Other,0,2020
Rupeek,Bengaluru,Banking and Financial Services,45000000,2020
Gig India,Pune,Banking and Financial Services,1000000,2020
Slurrp Farm,Gurgaon,Agriculture and Food Production,2000000,2020
Medfin,Bengaluru,Healthcare and Fitness,0,2020
Masterg,Delhi,E-Commerce and Retail,0,2020
Brila 91,Delhi,Agriculture and Food Production,1200000,2020
Foodybuddy,Belgaum,Agriculture and Food Production,600000,2020
Zomato,Gurgaon,Agriculture and Food Production,660000000,2020
Oureye.Ai,Bengaluru,Other,120000,2020
Shiprocket,Delhi,E-Commerce and Retail,7500000,2020
Pine Labs,Noida,Banking and Financial Services,0,2020
Moneyboxx Finance,Delhi,Banking and Financial Services,1000000,2020
Ewar,Bengaluru,Media and Entertainment,0,2020
Sucseed Indovation,Hyderabad,Banking and Financial Services,5000000,2020
Taxbuddy.Com,Mumbai,Banking and Financial Services,1000000,2020
Awign Enterprises,Bengaluru,Other,500000,2020
Circle Of Angels,Gurgaon,Banking and Financial Services,3000000,2020
Coindcx,Mumbai,Banking and Financial Services,10000000,2020
Glance,Bengaluru,Other,145000000,2020
Verse Innovation,Bengaluru,Information Technology (IT),100000000,2020
Voosh,Bengaluru,Agriculture and Food Production,0,2020
Delhivery,Gurgaon,E-Commerce and Retail,0,2020
Arya,Noida,Other,21000000,2020
Pickrr,Delhi,Transportation and Tourism,4000000,2020
Phonepe,Andheri,Banking and Financial Services,20000000,2020
Countingwell,Bengaluru,Education,1000000,2020
Callify.Ai,Mumbai,Information Technology (IT),560000,2020
Hudle,Delhi,Healthcare and Fitness,0,2020
Cover It Up,Chennai,E-Commerce and Retail,400000,2020
Bitespeed,Gurgaon,E-Commerce and Retail,275000,2020
Wakefit,Bengaluru,E-Commerce and Retail,20000000,2020
Sreyas Holistic Remedies,Hyderabad,Healthcare and Fitness,1000000,2020
Fleeca India,Jaipur,Other,0,2020
M1Xchange,Gurgaon,Banking and Financial Services,4500000,2020
Exotel,Bengaluru,Other,5000000,2020
Pagarbook,Bengaluru,Information Technology (IT),15000000,2020
Pointone Capital,Bengaluru,Other,0,2020
Ayana,Bengaluru,Energy,390000000,2020
Fisdom,Bengaluru,Banking and Financial Services,7000000,2020
Tinker Coders,Noida,Education,0,2020
Infinite Uptime,Pune,Other,5100000,2020
Happylocate,Bengaluru,Other,500000,2020
Phonepe,Delhi,Banking and Financial Services,700000000,2020
Loop Health,Pune,Healthcare and Fitness,2300000,2020
Neodocs,Mumbai,Healthcare and Fitness,0,2020
The Eplane,Chennai,Transportation and Tourism,0,2020
Tagmango,Mumbai,Other,700000,2020
The New Shop,Delhi,Other,500000,2020
Mobikwik,Gurgaon,Banking and Financial Services,7000000,2020
Debugsbunny,Pune,Education,100000,2020
Bhive Investech,Bengaluru,Other,1000000,2020
Rivigo,Gurgaon,Transportation and Tourism,19000000,2020
Ziploan,Delhi,Other,3000000,2020
Swipez,Pune,Banking and Financial Services,0,2020
Humus,Bengaluru,Other,0,2020
Artivatic.Ai,Bengaluru,Other,0,2020
Prescinto,Ahmedabad,Energy,0,2020
Toppeq,Mumbai,Other,0,2020
Bolo Indya,Gurgaon,Media and Entertainment,400000,2020
Bombay Play,Bengaluru,Other,1000000,2020
Freshtohome,Bengaluru,E-Commerce and Retail,0,2020
Kiko Tv,Mumbai,Media and Entertainment,0,2020
Atomberg Technologies,Mumbai,E-Commerce and Retail,9000000,2020
Dealshare,Jaipur,E-Commerce and Retail,21000000,2020
Smallcase,Bengaluru,Banking and Financial Services,0,2020
Cuemath,Bengaluru,Education,40000000,2020
Gamerji,Ahmedabad,Other,0,2020
5C Network,Bengaluru,Healthcare and Fitness,1200000,2020
Ethereum Push Notification Service,Mumbai,Blockchain,750000,2020
Mihup,Kolkata,Other,1500000,2020
Ruralbasket,Tirunelveli,E-Commerce and Retail,500000,2020
Waycool Foods,Chennai,Other,7800000,2020
Infra.Market,Thane,Other,20000000,2020
Info Edge Venture,Noida,Other,50000000,2020
Clovia,Noida,E-Commerce and Retail,4000000,2020
Codingal,Bengaluru,Education,560000,2020
Cred,Bengaluru,Other,80000000,2020
Vistaar Finance,Bengaluru,Other,30000000,2020
Let'S Dive,Bengaluru,Other,1700000,2020
Habitat,Unknown,Education,600000,2020
Sawo Labs,Mumbai,Other,600000,2020
Signzy,Bengaluru,Other,3000000,2020
Kopykitab,Bengaluru,Education,0,2020
Kyt,Singapore,Education,2500000,2020
Raskik,Unknown,Other,1000000,2020
Getwork,Gurugram,Career and Personal Development,40000,2020
Mobile Premier League (Mpl),Bengaluru,Media and Entertainment,500000,2020
Pravasirojgar,Unknown,Career and Personal Development,33000000,2020
Omatra Hotels,Kolkata,Events and Hospitality,0,2020
Awign,Bengaluru,Career and Personal Development,0,2020
Newsreach,Gujarat,Media and Entertainment,1500000,2020
Cashfree,Bengaluru,Banking and Financial Services,35000000,2020
Credgenics,Delhi,Banking and Financial Services,3000000,2020
Geoiq,Bengaluru,Other,300000,2020
Country Delight,Haryana,Other,25000000,2020
Quintype,Bengaluru,Other,3500000,2020
Cars24,Haryana,E-Commerce and Retail,200000000,2020
Astrogate Labs,Bengaluru,Information Technology (IT),0,2020
Power Gummies,Delhi,Healthcare and Fitness,0,2020
Cityflo,Mumbai,Transportation and Tourism,7000000,2020
Algobulls,Mumbai,E-Commerce and Retail,200000,2020
Credgenics,Gurugram,Banking and Financial Services,3000000,2020
Inntot,Kerala,Other,0,2020
Ensuredit,Gurugram,Banking and Financial Services,300000,2020
Shipsy,Gurugram,Other,6000000,2020
Erpnext,Mumbai,Other,1000000,2020
Lightspeedai,Bengaluru,Other,0,2020
Grip Invest,Gurugram,Banking and Financial Services,0,2020
Unacademy,Bengaluru,Education,0,2020
Yellow Classes,Gurugram,Education,1300000,2020
Plum,Bengaluru,Healthcare and Fitness,4100000,2020
Stage,Indore,Media and Entertainment,1000000,2020
Nykaa,Mumbai,Fashion and Beauty,0,2020
Kaagaz Scanner,Unknown,Other,575000,2020
Nira,Bengaluru,Banking and Financial Services,1000000,2020
Prolixr,Gurugram,Other,0,2020
Byju'S,Bengaluru,Education,200000000,2020
Damensch,Bengaluru,E-Commerce and Retail,6000000,2020
Country Delight,Haryana,Other,25000000,2020
Signalx,Hyderabad,Other,800000,2020
Lancify,Bengaluru,Education,300000,2020
Krimanshi,Jodhpur,Healthcare and Fitness,600000,2020
Instoried,Bengaluru,Other,1000000,2020
Playerzpot,Mumbai,Other,3000000,2020
Instamojo,Bengaluru,Banking and Financial Services,0,2020
Turtlemint,Mumbai,Healthcare and Fitness,30000000,2020
Arata,Delhi,E-Commerce and Retail,1000000,2020
Mpl,Bengaluru,Other,5000000,2020
True Balance,Gurugram,Banking and Financial Services,28000000,2020
Thrive,Mumbai,Agriculture and Food Production,0,2020
Kitchens Centre,Delhi,Career and Personal Development,0,2020
Prescribe,Chennai,Healthcare and Fitness,100000,2020
Nepra,Ahmedabad,Information Technology (IT),18000000,2020
Infeedo,Gurugram,Other,3200000,2020
Shilpa Sciences,Bengaluru,Healthcare and Fitness,0,2020
Arzooo,Bengaluru,Information Technology (IT),0,2020
Mindtickle,Pune,Other,100000000,2020
Slice,Bengaluru,Banking and Financial Services,5000000,2020
Rapawalk,Bengaluru,E-Commerce and Retail,300000,2020
Oga Fit'S,Bengaluru,Healthcare and Fitness,0,2020
Laval,Bengaluru,Fashion and Beauty,0,2020
Stride Ventures,Delhi,Other,80000000,2020
Blacksoil,Mumbai,Banking and Financial Services,10000000,2020
Biocon,Bengaluru,Healthcare and Fitness,15000000,2020
Clientjoy,Gujarat,Other,800000,2020
Xpressbees,Pune,E-Commerce and Retail,100000000,2020
Galaxycard,Gurugram,Banking and Financial Services,0,2020
Wellness Forever,Mumbai,Healthcare and Fitness,100000000,2020
Mooofarm,Gurugram,Other,500000,2020
Bitclass,Bengaluru,Other,2000000,2020
Gonuts,Mumbai,Media and Entertainment,400000,2020
Uolo,Bengaluru,Education,2000000,2020
Kirana King,Jaipur,E-Commerce and Retail,900000,2020
Jade Forest,Delhi,Agriculture and Food Production,250000,2020
Ikure,Kolkata,Healthcare and Fitness,0,2020
Frontrow,Bengaluru,Education,3200000,2020
Reliance Retail,Mumbai,E-Commerce and Retail,10000000,2020
Tubbr,Frisco,Media and Entertainment,0,2020
Ather Energy,Bengaluru,Manufacturing,35000000,2020
Routematic,Bengaluru,Other,2000000,2020
Livfin,Delhi,Banking and Financial Services,4700000,2020
Universal Sportsbiz Pvt Ltd,Bengaluru,E-Commerce and Retail,0,2020
Lattu Kids,Mumbai,Education,0,2020
Eggoz,Indore,Agriculture and Food Production,1500000,2020
Steradian Semiconductors,Bengaluru,Information Technology (IT),0,2020
Charge+Zone,Gujarat,Transportation and Tourism,3000000,2020
Stones2Milestones,Gurugram,Education,2000000,2020
Udacity,California,Education,75000000,2020
Ajnalens,Thane,Other,1000000,2020
Gully Network,Bengaluru,E-Commerce and Retail,1200000,2020
Turbohire,Hyderabad,Other,1000000,2020
Traya,Mumbai,Healthcare and Fitness,0,2020
Charcoal Eats,Mumbai,Other,2000000,2020
Mitron Tv,Bengaluru,Information Technology (IT),0,2020
Svami,Mumbai,Agriculture and Food Production,800000,2020
Dhurnia,Dhingsara,Education,100000,2020
Expertrons,Mumbai,Education,0,2020
Leena Ai,New York,Other,8000000,2020
Bizlog,Bengaluru,Transportation and Tourism,1000000,2020
Tamasha.Live,Mumbai,Media and Entertainment,300000,2020
Fedo,Bengaluru,Other,1000000,2020
Fabhotels,Gurugram,Events and Hospitality,1000000,2020
Freshokartz,Jaipur,Other,1000000,2020
Flexiloans,Mumbai,Banking and Financial Services,6000000,2020
Agrix,Patna,Other,0,2020
Bharatagri,Pune,Other,0,2020
Freshtohome,Bengaluru,E-Commerce and Retail,121000000,2020
Credable,Mumbai,Banking and Financial Services,4500000,2020
Railofy,Mumbai,Transportation and Tourism,5000000,2020
Finova Capital,Jaipur,Banking and Financial Services,55000000,2020
Teachmint,Bengaluru,Education,3500000,2020
Peel-Works,Mumbai,E-Commerce and Retail,3000000,2020
Janani,Bengaluru,Agriculture and Food Production,200000,2020
Credgenics,Gurugram,Banking and Financial Services,3300000,2020
Finelistings,Delhi,Other,0,2020
Wellversed,Delhi,Healthcare and Fitness,0,2020
Jumbotail,Bengaluru,E-Commerce and Retail,11000000,2020
Winzo,Delhi,Other,2000000,2020
Mcaffeine,Mumbai,Fashion and Beauty,5000000,2020
Pocket Fm,Bengaluru,Other,5000000,2020
Snackible,Mumbai,Healthcare and Fitness,0,2020
Freshtohome,Bengaluru,E-Commerce and Retail,16000000,2020
Jumbotail,Bengaluru,E-Commerce and Retail,11000000,2020
Nykaa,Mumbai,E-Commerce and Retail,0,2020
Tagz Foods,Bengaluru,Agriculture and Food Production,0,2020
Genius Teacher,Mumbai,Education,2000000,2020
Krimanshi Feeds,Jodhpur,Agriculture and Food Production,500000,2020
Origo,Gurugram,Other,4000000,2020
Getvantage,Mumbai,Banking and Financial Services,5000000,2020
Betterplace,Bengaluru,Information Technology (IT),10000000,2020
Biddano,Mumbai,Healthcare and Fitness,600000,2020
Invideo,Mumbai,Media and Entertainment,15000000,2020
Arzooo,Bengaluru,Information Technology (IT),7500000,2020
Hubilo,San Francisco,Other,4500000,2020
Basic Home Loan,Gurugram,Banking and Financial Services,5000000,2020
Ketos,San Francisco,Other,18000000,2020
Sugar Cosmetics,Mumbai,Fashion and Beauty,2000000,2020
Signzy,Bengaluru,Banking and Financial Services,5400000,2020
Ahaguru,Chennai,Education,0,2020
Tekion,San Ramon,Other,150000000,2020
Brighteye Ventures,Paris,Education,5400000,2020
Ezerx,Kolkata,Healthcare and Fitness,200000,2020
Vitaltech,Plano,Other,3000000,2020
Genius Teacher,Mumbai,Education,2000000,2020
Ultraviolette Automotive,Bengaluru,Manufacturing,4000000,2020
Tring,Mumbai,Media and Entertainment,0,2020
Rare Planet,Kolkata,Other,400000,2020
Goodgamer,Bengaluru,Media and Entertainment,2500000,2020
Innaccel,Bengaluru,Healthcare and Fitness,1500000,2020
Tiliter,Sydney,E-Commerce and Retail,7500000,2020
Slintel,San Francisco,Other,4200000,2020
Soolegal,Delhi,Career and Personal Development,4000000,2020
Hobspace,Mumbai,Education,200000,2020
Supplynote,Noida,Other,500000,2020
Hire Me Car,Noida,Transportation and Tourism,0,2020
Shopup,Bangaldesh,E-Commerce and Retail,22000000,2020
Harmonizer India,Bengaluru,Information Technology (IT),0,2020
Zomato,Gurugram,Agriculture and Food Production,52000000,2020
Dukaan,Mumbai,Information Technology (IT),6000000,2020
Credr,Mumbai,Other,2000000,2020
Satyukt,Bengaluru,Agriculture and Food Production,500000,2020
Racenergy,Hyderabad,Manufacturing,0,2020
Tread,Bengaluru,Healthcare and Fitness,1100000,2020
Anveshan,Bengaluru,Agriculture and Food Production,100000,2020
Teamonk,Bengaluru,Agriculture and Food Production,900000,2020
Fleetx,Gurugram,Information Technology (IT),3000000,2020
Renewate,Pune,Other,0,2020
Tango Eye,Chennai,Other,0,2020
Rare Planet,Kolkata,Other,0,2020
Avataa Me,Bengaluru,Other,7000000,2020
Arrival,London,Transportation and Tourism,118000000,2020
Cover Genius,Sydney,Banking and Financial Services,15000000,2020
Phononic Vibes,Milan,Information Technology (IT),2300000,2020
Mikelegal,Gurugram,Career and Personal Development,0,2020
Clair,New York,Banking and Financial Services,4500000,2020
Gourmet Garden,Palmwoods,E-Commerce and Retail,0,2020
Miko,Mumbai,Other,3000000,2020
Razorpay,Bengaluru,Banking and Financial Services,100000000,2020
Ninjacart,Bengaluru,Agriculture and Food Production,30000000,2020
Wow! Momo,Kolkata,Agriculture and Food Production,5000000,2020
Pepper Content,Mumbai,Other,4200000,2020
Livspace,Bengaluru,Career and Personal Development,4000000,2020
Acculi Labs,Bengaluru,Healthcare and Fitness,600000,2020
Your Md,London,Healthcare and Fitness,25000000,2020
Antaios,Paris,Other,11000000,2020
Unnati,Noida,Other,1700000,2020
Disprz,Chennai,Education,1600000,2020
Uni,Mumbai,Banking and Financial Services,18500000,2020
Credit Wise Capital,Mumbai,Banking and Financial Services,6000000,2020
Chargebee,San Francisco,Other,55000000,2020
Reliance Retail Ventures Ltd,Mumbai,E-Commerce and Retail,70000000000,2020
Winuall,Bengaluru,Education,2000000,2020
Genrobotics,Trivandrum,Other,300000,2020
Livve,Cochin,Other,1500000,2020
Ergos,Samastipur,Other,5000000,2020
Krishitantra,Hyderabad,Information Technology (IT),1000000,2020
Pakkaprofile,Bengaluru,Other,0,2020
Monet Networks,Irvine,Other,500000,2020
Unocoin,Tumkur,Banking and Financial Services,0,2020
Pesto,Delhi,Education,0,2020
Nirogstreet,Gurugram,Other,2000000,2020
Bambrew,Bengaluru,Other,0,2020
Omnify,San Francisco,Other,0,2020
Fanball Xi,Delhi,Media and Entertainment,1000000,2020
Treebo Hotels,Bengaluru,Events and Hospitality,6000000,2020
Gps Renewables,Bengaluru,Information Technology (IT),3000000,2020
Public,Delhi,Media and Entertainment,30000000,2020
Legal Salah,Kolkata,Career and Personal Development,1000000,2020
Fanplay,Delhi,Media and Entertainment,0,2020
Ecostp,Bengaluru,Other,19000000,2020
Coralogix,San Francisco,Other,25000000,2020
Equiwatt,Newcastle Upon Tyne,Other,300000,2020
Reliance Retail Ventures,Mumbai,E-Commerce and Retail,800000000,2020
Zhangmen,Shanghai,Education,400000000,2020
Agrowave,Gurugram,Other,500000,2020
Sapio Analytics,Mumbai,Other,150000,2020
Taimei,Jiaxing,Healthcare and Fitness,176000000,2020
Avanse Financial Services,Mumbai,Banking and Financial Services,15000000,2020
Industry Buying,Delhi,E-Commerce and Retail,15000000,2020
Hopscotch,Mumbai,E-Commerce and Retail,25000000,2020
Pristyn Care,Gurugram,Healthcare and Fitness,11000000,2020
Woodenstreet,Rajastan,Career and Personal Development,1000000,2020
Acko,Mumbai,Banking and Financial Services,60000000,2020
Farmers Fresh Zone,Kochi,Other,470000,2020
Invento,Bengaluru,Other,0,2020
Infurnia,Bengaluru,Information Technology (IT),240000,2020
Analytiqsports'S Supercric,Bengaluru,Media and Entertainment,0,2020
Snowflake,California,Other,3000000000,2020
Genietalk,Indore,Other,750000,2020
Classplus,Noida,Education,10000000,2020
Mobile Premier League,Bengaluru,Media and Entertainment,74000000,2020
Fourth Partner Energy,Hyderabad,Energy,16000000,2020
Flipkart,Bengaluru,E-Commerce and Retail,62000000,2020
Vivriti Capital,Chennai,Banking and Financial Services,1000000,2020
Insurancedekho,Ludhiana,Banking and Financial Services,20000000,2020
Bestdoc,Kochi,Healthcare and Fitness,2100000,2020
Byju’S,Bengaluru,Education,500000000,2020
Melorra,Bengaluru,Other,12500000,2020
Reliance,Mumbai,Other,2200000000,2020
Inflexor Ventures,Mumbai,Banking and Financial Services,10000000,2020
Pandorum,Bengaluru,Other,5060000,2020
Speakin,Noida,Media and Entertainment,0,2020
Letsup,Mumbai,Information Technology (IT),0,2020
Newsreach,Gujarat,Information Technology (IT),0,2020
Dream11,Mumbai,Media and Entertainment,225000000,2020
Signalx,Hyderabad,Other,750000,2020
Jetsynthesys,Mumbai,Information Technology (IT),40000000,2020
Vesta Space Technology,Pune,Information Technology (IT),10000000,2020
Dozee,Bengaluru,Healthcare and Fitness,1600000,2020
Rebel Foods,Pune,Agriculture and Food Production,50000000,2020
Nykaa,Mumbai,Fashion and Beauty,24700000,2020
Ketto,Mumbai,Banking and Financial Services,7700000,2020
Suryoday,Mumbai,Banking and Financial Services,800000,2020
Sucseed,Hyderabad,Banking and Financial Services,1300000,2020
Unacademy,Bengaluru,Education,150000000,2020
Strata,Bengaluru,Other,19067328,2020
3One4 Capital,Bengaluru,Banking and Financial Services,100000000,2020
We-Hub,Hyderabad,E-Commerce and Retail,0,2020
Zomato,Haryana,Other,62000000,2020
Vicara,Bengaluru,Information Technology (IT),0,2020
Gaana,Gurugram,Media and Entertainment,51000000,2020
Em3 Agri,Noida,Other,1000000,2020
Plum,Thane,Fashion and Beauty,115000,2020
Odwen,Noida,E-Commerce and Retail,54000,2020
Fasal,Bengaluru,Other,20000,2020
Trukky,Ahmedabad,Transportation and Tourism,0,2020
Bankbazaar,Chennai,Other,9000000,2020
Specsmakers,Chennai,Fashion and Beauty,3000000,2020
Grinntech,Dehradun,Other,2000000,2020
Creditmantri,Chennai,Other,803146,2020
Chai Waale,Chennai,Agriculture and Food Production,238000,2020
Deepsync,Bengaluru,Information Technology (IT),300000,2020
Connectedh,Gurgaon,Healthcare and Fitness,0,2020
Reliance Retail,Mumbai,E-Commerce and Retail,10220000,2020
Qshala,Bengaluru,Education,300000,2020
Pitstop,Bengaluru,Transportation and Tourism,1020000,2020
Zomato,Haryana,Other,100000000,2020
Customfit Ai,Bengaluru,Other,0,2020
Nirmata,San Francisco,Information Technology (IT),0,2020
Hire Me Car,Noida,Other,0,2020
Oga Fit,Bengaluru,Healthcare and Fitness,0,2020
Shipskart,Delhi,E-Commerce and Retail,200000,2020
Squadstack,San Francisco,Other,5000000,2020
Financepeer,Mumbai,Education,3000000,2020
Cashify,Gurugram,E-Commerce and Retail,10000000,2020
Etrio,Hyderabad,Transportation and Tourism,3000000,2020
Codeyoung,Bengaluru,Education,0,2020
Stayqrious,Bengaluru,Education,2000000,2020
Sunstone Eduversity,Gurugram,Education,3000000,2020
Infilect,Bengaluru,Other,1500000,2020
Mobigarage,Delhi,E-Commerce and Retail,0,2020
Samunnati,Chennai,Other,20000000,2020
Weinnovate Biosolutions,Pune,Other,0,2020
Yummy Corp,Tangerang,Agriculture and Food Production,12000000,2020
Smallcase,Bengaluru,Banking and Financial Services,13400000,2020
Clairvolex,California,Information Technology (IT),2000000,2020
Assiduus,Bengaluru,E-Commerce and Retail,1000000,2020
Brinton,California,Healthcare and Fitness,1300000,2020
Afk Gaming,Mumbai,Media and Entertainment,200000,2020
Infarm,Berlin,Other,170000000,2020
Zuper,Seattle,Other,1100000,2020
Mcaffeine,Mumbai,Other,2900000,2020
Origa,Andheri,Banking and Financial Services,2000000,2020
Gullybuy Software,Pune,Information Technology (IT),543000,2020
Recordent,Hyderabad,Banking and Financial Services,0,2020
Mpl,Bengaluru,Media and Entertainment,90000000,2020
Penny,Riyadh,Other,1300000,2020
Onsitego,Mumbai,Other,30000000,2020
Precily,California,Other,0,2020
Smartclean,Singapore,Information Technology (IT),3400000,2020
